match_id,start_date,venue,team_1,team_2,winner,toss_winner,toss_decision
1033365,2017-05-17,Clontarf Cricket Club Ground,Bangladesh,New Zealand,New Zealand,New Zealand,field
1033367,2017-05-19,Malahide,Ireland,Bangladesh,Bangladesh,Bangladesh,field
1033369,2017-05-21,Malahide,Ireland,New Zealand,New Zealand,Ireland,field
1033371,2017-05-24,Clontarf Cricket Club Ground,Bangladesh,New Zealand,Bangladesh,Bangladesh,field
1034819,2017-01-15,Maharashtra Cricket Association Stadium,India,England,India,India,field
1034821,2017-01-19,Barabati Stadium,India,England,India,England,field
1034823,2017-01-22,Eden Gardens,India,England,England,India,field
1050223,2016-09-30,Sharjah Cricket Stadium,Pakistan,West Indies,Pakistan,West Indies,field
1050225,2016-10-02,Sharjah Cricket Stadium,Pakistan,West Indies,Pakistan,Pakistan,bat
1050227,2016-10-05,Sheikh Zayed Stadium,Pakistan,West Indies,Pakistan,Pakistan,bat
1059710,2016-11-14,Harare Sports Club,Zimbabwe,Sri Lanka,Sri Lanka,Sri Lanka,field
1059711,2016-11-16,Harare Sports Club,Sri Lanka,West Indies,West Indies,Sri Lanka,field
1059712,2016-11-19,Queens Sports Club,Zimbabwe,West Indies,No Result,Zimbabwe,bat
1059713,2016-11-21,Queens Sports Club,Zimbabwe,Sri Lanka,No Result,Zimbabwe,bat
1059714,2016-11-23,Queens Sports Club,Sri Lanka,West Indies,Sri Lanka,West Indies,field
1059715,2016-11-25,Queens Sports Club,Zimbabwe,West Indies,Zimbabwe,Zimbabwe,bat
1059716,2016-11-27,Queens Sports Club,Zimbabwe,Sri Lanka,Sri Lanka,Zimbabwe,bat
1068737,2017-04-02,Sheikh Zayed Stadium,United Arab Emirates,Papua New Guinea,Papua New Guinea,Papua New Guinea,bat
1072310,2018-01-14,Melbourne Cricket Ground,Australia,England,England,England,field
1072311,2018-01-19,"Brisbane Cricket Ground, Woolloongabba",Australia,England,England,Australia,bat
1072312,2018-01-21,Sydney Cricket Ground,England,Australia,England,Australia,field
1072313,2018-01-26,Adelaide Oval,England,Australia,Australia,Australia,field
1072314,2018-01-28,Perth Stadium,England,Australia,England,Australia,field
1075504,2017-10-15,Diamond Oval,Bangladesh,South Africa,South Africa,Bangladesh,bat
1075505,2017-10-18,Boland Park,South Africa,Bangladesh,South Africa,Bangladesh,field
1075506,2017-10-22,Buffalo Park,South Africa,Bangladesh,South Africa,South Africa,bat
1077949,2017-04-07,Providence Stadium,West Indies,Pakistan,West Indies,West Indies,field
1077950,2017-04-09,Providence Stadium,West Indies,Pakistan,Pakistan,West Indies,field
1077951,2017-04-11,Providence Stadium,West Indies,Pakistan,Pakistan,West Indies,bat
1078659,2017-01-22,Sheikh Zayed Stadium,Hong Kong,Scotland,Hong Kong,Hong Kong,field
1078660,2017-01-24,Dubai International Cricket Stadium,United Arab Emirates,Scotland,United Arab Emirates,Scotland,bat
1078661,2017-01-26,Dubai International Cricket Stadium,United Arab Emirates,Hong Kong,United Arab Emirates,United Arab Emirates,field
1080630,2017-03-02,ICC Global Cricket Academy,United Arab Emirates,Ireland,Ireland,United Arab Emirates,field
1080631,2017-03-04,ICC Global Cricket Academy,United Arab Emirates,Ireland,Ireland,United Arab Emirates,bat
1083446,2017-03-25,Rangiri Dambulla International Stadium,Sri Lanka,Bangladesh,Bangladesh,Sri Lanka,field
1083447,2017-03-28,Rangiri Dambulla International Stadium,Sri Lanka,Bangladesh,No Result,Sri Lanka,bat
1083448,2017-04-01,Sinhalese Sports Club Ground,Sri Lanka,Bangladesh,Sri Lanka,Bangladesh,field
1089183,2017-04-04,Sheikh Zayed Stadium,United Arab Emirates,Papua New Guinea,United Arab Emirates,United Arab Emirates,bat
1089419,2017-06-15,"Grange Cricket Club Ground, Raeburn Place",Scotland,Zimbabwe,Scotland,Scotland,bat
1089420,2017-06-17,"Grange Cricket Club Ground, Raeburn Place",Scotland,Zimbabwe,Zimbabwe,Scotland,bat
1098206,2017-06-23,"Queen's Park Oval, Port of Spain",West Indies,India,No Result,West Indies,field
1098207,2017-06-25,"Queen's Park Oval, Port of Spain",West Indies,India,India,West Indies,field
1098208,2017-06-30,"Sir Vivian Richards Stadium, North Sound",West Indies,India,India,West Indies,field
1098209,2017-07-02,"Sir Vivian Richards Stadium, North Sound",West Indies,India,West Indies,West Indies,bat
1098210,2017-07-06,"Sabina Park, Kingston",West Indies,India,India,West Indies,bat
1104478,2017-06-30,Galle International Stadium,Sri Lanka,Zimbabwe,Zimbabwe,Sri Lanka,bat
1104479,2017-07-02,Galle International Stadium,Sri Lanka,Zimbabwe,Sri Lanka,Sri Lanka,field
1104480,2017-07-06,"Mahinda Rajapaksa International Cricket Stadium, Sooriyawewa",Sri Lanka,Zimbabwe,Sri Lanka,Sri Lanka,field
1104481,2017-07-08,"Mahinda Rajapaksa International Cricket Stadium, Sooriyawewa",Sri Lanka,Zimbabwe,Zimbabwe,Sri Lanka,bat
1104482,2017-07-10,"Mahinda Rajapaksa International Cricket Stadium, Sooriyawewa",Sri Lanka,Zimbabwe,Zimbabwe,Zimbabwe,field
1109605,2017-08-20,Rangiri Dambulla International Stadium,Sri Lanka,India,India,India,field
1109606,2017-08-24,Pallekele International Cricket Stadium,Sri Lanka,India,India,India,field
1109607,2017-08-27,Pallekele International Cricket Stadium,Sri Lanka,India,India,Sri Lanka,bat
1109608,2017-08-31,"R.Premadasa Stadium, Khettarama",India,Sri Lanka,India,India,bat
1109609,2017-09-03,"R.Premadasa Stadium, Khettarama",Sri Lanka,India,India,Sri Lanka,bat
1115775,2018-02-25,Seddon Park,England,New Zealand,New Zealand,New Zealand,field
1115776,2018-02-28,Bay Oval,New Zealand,England,England,England,field
1115777,2018-03-03,Westpac Stadium,England,New Zealand,England,New Zealand,field
1115778,2018-03-07,University Oval,England,New Zealand,New Zealand,New Zealand,field
1115779,2018-03-10,Hagley Oval,New Zealand,England,England,England,field
1115795,2017-12-20,Cobham Oval (New),West Indies,New Zealand,New Zealand,New Zealand,field
1115796,2017-12-23,Hagley Oval,New Zealand,West Indies,New Zealand,West Indies,field
1115797,2017-12-26,Hagley Oval,New Zealand,West Indies,New Zealand,New Zealand,bat
1115802,2018-01-06,Basin Reserve,New Zealand,Pakistan,New Zealand,Pakistan,field
1115803,2018-01-09,Saxton Oval,Pakistan,New Zealand,New Zealand,Pakistan,bat
1115804,2018-01-13,University Oval,New Zealand,Pakistan,New Zealand,New Zealand,bat
1115805,2018-01-16,Seddon Park,Pakistan,New Zealand,New Zealand,Pakistan,bat
1115806,2018-01-19,Basin Reserve,New Zealand,Pakistan,New Zealand,New Zealand,bat
1119496,2017-09-17,"MA Chidambaram Stadium, Chepauk",India,Australia,India,India,bat
1119497,2017-09-21,Eden Gardens,India,Australia,India,India,bat
1119498,2017-09-24,Holkar Cricket Stadium,Australia,India,India,Australia,bat
1119499,2017-09-28,M.Chinnaswamy Stadium,Australia,India,Australia,Australia,bat
1119500,2017-10-01,"Vidarbha Cricket Association Stadium, Jamtha",Australia,India,India,Australia,bat
1119537,2018-06-13,Kennington Oval,Australia,England,England,Australia,bat
1119538,2018-06-16,Sophia Gardens,England,Australia,England,Australia,field
1119539,2018-06-19,Trent Bridge,England,Australia,England,Australia,field
1119540,2018-06-21,Riverside Ground,Australia,England,England,Australia,bat
1119541,2018-06-24,Old Trafford,Australia,England,England,Australia,bat
1119546,2018-07-12,Trent Bridge,England,India,India,India,field
1119547,2018-07-14,Lord's,England,India,England,England,bat
1119548,2018-07-17,Headingley,India,England,England,England,field
1120090,2017-10-22,Wankhede Stadium,India,New Zealand,New Zealand,India,bat
1120091,2017-10-25,Maharashtra Cricket Association Stadium,New Zealand,India,India,New Zealand,bat
1120092,2017-10-29,Green Park,India,New Zealand,India,New Zealand,field
1120286,2017-10-13,Dubai International Cricket Stadium,Pakistan,Sri Lanka,Pakistan,Sri Lanka,field
1120287,2017-10-16,Sheikh Zayed Stadium,Pakistan,Sri Lanka,Pakistan,Pakistan,bat
1120288,2017-10-18,Sheikh Zayed Stadium,Sri Lanka,Pakistan,Pakistan,Sri Lanka,bat
1120289,2017-10-20,Sharjah Cricket Stadium,Sri Lanka,Pakistan,Pakistan,Sri Lanka,bat
1120290,2017-10-23,Sharjah Cricket Stadium,Sri Lanka,Pakistan,Pakistan,Sri Lanka,bat
1122279,2018-02-01,Kingsmead,South Africa,India,India,South Africa,bat
1122280,2018-02-04,SuperSport Park,South Africa,India,India,India,field
1122281,2018-02-07,Newlands,India,South Africa,India,South Africa,field
1122282,2018-02-10,The Wanderers Stadium,India,South Africa,South Africa,India,bat
1122283,2018-02-13,St George's Park,India,South Africa,India,South Africa,field
1122284,2018-02-16,SuperSport Park,South Africa,India,India,India,field
1122726,2017-12-10,Himachal Pradesh Cricket Association Stadium,India,Sri Lanka,Sri Lanka,Sri Lanka,field
1122727,2017-12-13,"Punjab Cricket Association IS Bindra Stadium, Mohali",India,Sri Lanka,India,Sri Lanka,field
1122728,2017-12-17,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,Sri Lanka,India,India,India,field
1124089,2017-12-06,ICC Academy,Hong Kong,Papua New Guinea,Hong Kong,Papua New Guinea,field
1130737,2018-01-15,"Shere Bangla National Stadium, Mirpur",Zimbabwe,Bangladesh,Bangladesh,Bangladesh,field
1130738,2018-01-17,"Shere Bangla National Stadium, Mirpur",Zimbabwe,Sri Lanka,Zimbabwe,Sri Lanka,field
1130739,2018-01-19,"Shere Bangla National Stadium, Mirpur",Bangladesh,Sri Lanka,Bangladesh,Bangladesh,bat
1130740,2018-01-21,"Shere Bangla National Stadium, Mirpur",Zimbabwe,Sri Lanka,Sri Lanka,Zimbabwe,bat
1130741,2018-01-23,"Shere Bangla National Stadium, Mirpur",Bangladesh,Zimbabwe,Bangladesh,Bangladesh,bat
1130742,2018-01-25,"Shere Bangla National Stadium, Mirpur",Bangladesh,Sri Lanka,Sri Lanka,Bangladesh,bat
1130743,2018-01-27,"Shere Bangla National Stadium, Mirpur",Sri Lanka,Bangladesh,Sri Lanka,Sri Lanka,bat
1131274,2018-01-11,ICC Academy,United Arab Emirates,Ireland,Ireland,Ireland,field
1131275,2018-01-13,ICC Academy,Ireland,United Arab Emirates,Ireland,Ireland,bat
1131276,2018-01-16,ICC Academy,Scotland,Ireland,Ireland,Ireland,field
1131277,2018-01-18,ICC Academy,Ireland,Scotland,Ireland,Ireland,bat
1131278,2018-01-21,ICC Academy,Scotland,United Arab Emirates,Scotland,United Arab Emirates,field
1131279,2018-01-23,ICC Academy,Scotland,United Arab Emirates,United Arab Emirates,Scotland,bat
1133002,2018-03-06,Harare Sports Club,Papua New Guinea,Ireland,Ireland,Ireland,field
1133003,2018-03-06,Old Hararians,West Indies,United Arab Emirates,West Indies,West Indies,bat
1133005,2018-03-06,Bulawayo Athletic Club,Hong Kong,Scotland,Scotland,Scotland,field
1133007,2018-03-08,Old Hararians,Papua New Guinea,West Indies,West Indies,Papua New Guinea,bat
1133010,2018-03-10,Harare Sports Club,West Indies,Ireland,West Indies,Ireland,field
1133012,2018-03-10,Queens Sports Club,Zimbabwe,Hong Kong,Zimbabwe,Hong Kong,field
1133015,2018-03-12,Old Hararians,Ireland,United Arab Emirates,Ireland,United Arab Emirates,field
1133017,2018-03-12,Queens Sports Club,Zimbabwe,Scotland,No Result,Zimbabwe,bat
1133019,2018-03-15,Queens Sports Club,Scotland,United Arab Emirates,Scotland,Scotland,bat
1133022,2018-03-16,Harare Sports Club,Zimbabwe,Ireland,Zimbabwe,Ireland,field
1133023,2018-03-17,Old Hararians,Papua New Guinea,Hong Kong,Papua New Guinea,Papua New Guinea,bat
1133025,2018-03-18,Harare Sports Club,Ireland,Scotland,Ireland,Scotland,field
1133026,2018-03-19,Harare Sports Club,Zimbabwe,West Indies,West Indies,Zimbabwe,bat
1133028,2018-03-21,Harare Sports Club,West Indies,Scotland,West Indies,Scotland,field
1133029,2018-03-22,Harare Sports Club,United Arab Emirates,Zimbabwe,United Arab Emirates,Zimbabwe,field
1134540,2018-03-04,Harare Sports Club,United Arab Emirates,Papua New Guinea,United Arab Emirates,Papua New Guinea,field
1140379,2018-10-10,Rangiri Dambulla International Stadium,England,Sri Lanka,No Result,Sri Lanka,field
1140380,2018-10-13,Rangiri Dambulla International Stadium,England,Sri Lanka,England,Sri Lanka,field
1140381,2018-10-17,Pallekele International Cricket Stadium,Sri Lanka,England,England,England,field
1140382,2018-10-20,Pallekele International Cricket Stadium,Sri Lanka,England,England,England,field
1140383,2018-10-23,"R.Premadasa Stadium, Khettarama",Sri Lanka,England,Sri Lanka,Sri Lanka,bat
1142584,2018-07-29,Rangiri Dambulla International Stadium,Sri Lanka,South Africa,South Africa,Sri Lanka,bat
1142585,2018-08-01,Rangiri Dambulla International Stadium,Sri Lanka,South Africa,South Africa,Sri Lanka,bat
1142586,2018-08-05,Pallekele International Cricket Stadium,South Africa,Sri Lanka,South Africa,Sri Lanka,field
1142587,2018-08-08,Pallekele International Cricket Stadium,Sri Lanka,South Africa,Sri Lanka,South Africa,field
1142588,2018-08-12,"R.Premadasa Stadium, Khettarama",Sri Lanka,South Africa,Sri Lanka,Sri Lanka,bat
1142920,2018-07-13,Queens Sports Club,Pakistan,Zimbabwe,Pakistan,Zimbabwe,field
1142921,2018-07-16,Queens Sports Club,Zimbabwe,Pakistan,Pakistan,Zimbabwe,bat
1142922,2018-07-18,Queens Sports Club,Zimbabwe,Pakistan,Pakistan,Zimbabwe,bat
1142923,2018-07-20,Queens Sports Club,Pakistan,Zimbabwe,Pakistan,Pakistan,bat
1142924,2018-07-22,Queens Sports Club,Pakistan,Zimbabwe,Pakistan,Pakistan,bat
1144146,2018-09-30,Diamond Oval,Zimbabwe,South Africa,South Africa,South Africa,field
1144147,2018-10-03,Mangaung Oval,South Africa,Zimbabwe,South Africa,South Africa,bat
1144148,2018-10-06,Boland Park,Zimbabwe,South Africa,South Africa,Zimbabwe,bat
1144156,2019-01-19,St George's Park,South Africa,Pakistan,Pakistan,South Africa,bat
1144157,2019-01-22,Kingsmead,South Africa,Pakistan,South Africa,South Africa,field
1144158,2019-01-25,SuperSport Park,South Africa,Pakistan,South Africa,Pakistan,bat
1144159,2019-01-27,The Wanderers Stadium,South Africa,Pakistan,Pakistan,Pakistan,field
1144160,2019-01-30,Newlands,South Africa,Pakistan,South Africa,South Africa,field
1144167,2019-03-03,The Wanderers Stadium,South Africa,Sri Lanka,South Africa,South Africa,field
1144168,2019-03-06,SuperSport Park,South Africa,Sri Lanka,South Africa,Sri Lanka,field
1144169,2019-03-10,Kingsmead,South Africa,Sri Lanka,South Africa,Sri Lanka,field
1144170,2019-03-13,St George's Park,South Africa,Sri Lanka,South Africa,South Africa,field
1144171,2019-03-16,Newlands,South Africa,Sri Lanka,South Africa,Sri Lanka,bat
1144483,2019-05-30,Kennington Oval,England,South Africa,England,South Africa,field
1144484,2019-05-31,Trent Bridge,Pakistan,West Indies,West Indies,West Indies,field
1144485,2019-06-01,Sophia Gardens,New Zealand,Sri Lanka,New Zealand,New Zealand,field
1144487,2019-06-02,Kennington Oval,Bangladesh,South Africa,Bangladesh,South Africa,field
1144488,2019-06-03,Trent Bridge,England,Pakistan,Pakistan,England,field
1144490,2019-06-05,The Rose Bowl,India,South Africa,India,South Africa,bat
1144491,2019-06-05,Kennington Oval,Bangladesh,New Zealand,New Zealand,New Zealand,field
1144492,2019-06-06,Trent Bridge,Australia,West Indies,Australia,West Indies,field
1144494,2019-06-08,Sophia Gardens,England,Bangladesh,England,Bangladesh,field
1144496,2019-06-09,Kennington Oval,Australia,India,India,India,bat
1144497,2019-06-10,The Rose Bowl,South Africa,West Indies,No Result,West Indies,field
1144499,2019-06-12,The Cooper Associates County Ground,Australia,Pakistan,Australia,Pakistan,field
1144501,2019-06-14,The Rose Bowl,England,West Indies,England,England,field
1144502,2019-06-15,Kennington Oval,Australia,Sri Lanka,Australia,Sri Lanka,field
1144504,2019-06-16,Old Trafford,India,Pakistan,India,Pakistan,field
1144505,2019-06-17,The Cooper Associates County Ground,Bangladesh,West Indies,Bangladesh,Bangladesh,field
1144507,2019-06-19,Edgbaston,New Zealand,South Africa,New Zealand,New Zealand,field
1144508,2019-06-20,Trent Bridge,Australia,Bangladesh,Australia,Australia,bat
1144509,2019-06-21,Headingley,England,Sri Lanka,Sri Lanka,Sri Lanka,bat
1144511,2019-06-22,Old Trafford,New Zealand,West Indies,New Zealand,West Indies,field
1144512,2019-06-23,Lord's,Pakistan,South Africa,Pakistan,Pakistan,bat
1144514,2019-06-25,Lord's,England,Australia,Australia,England,field
1144515,2019-06-26,Edgbaston,New Zealand,Pakistan,Pakistan,New Zealand,bat
1144516,2019-06-27,Old Trafford,India,West Indies,India,India,bat
1144517,2019-06-28,Riverside Ground,South Africa,Sri Lanka,South Africa,South Africa,field
1144519,2019-06-29,Lord's,Australia,New Zealand,Australia,Australia,bat
1144520,2019-06-30,Edgbaston,England,India,England,England,bat
1144521,2019-07-01,Riverside Ground,Sri Lanka,West Indies,Sri Lanka,West Indies,field
1144522,2019-07-02,Edgbaston,Bangladesh,India,India,India,bat
1144523,2019-07-03,Riverside Ground,England,New Zealand,England,England,bat
1144525,2019-07-05,Lord's,Bangladesh,Pakistan,Pakistan,Pakistan,bat
1144526,2019-07-06,Headingley,India,Sri Lanka,India,Sri Lanka,bat
1144527,2019-07-06,Old Trafford,Australia,South Africa,South Africa,South Africa,bat
1144528,2019-07-09,Old Trafford,India,New Zealand,New Zealand,New Zealand,bat
1144529,2019-07-11,Edgbaston,Australia,England,England,Australia,bat
1144530,2019-07-14,Lord's,England,New Zealand,No Result,New Zealand,bat
1144986,2018-11-04,Perth Stadium,Australia,South Africa,South Africa,South Africa,field
1144987,2018-11-09,Adelaide Oval,Australia,South Africa,Australia,South Africa,field
1144988,2018-11-11,Bellerive Oval,South Africa,Australia,South Africa,Australia,field
1144997,2019-01-12,Sydney Cricket Ground,Australia,India,Australia,Australia,bat
1144998,2019-01-15,Adelaide Oval,Australia,India,India,Australia,bat
1144999,2019-01-18,Melbourne Cricket Ground,Australia,India,India,India,field
1146720,2018-07-22,Providence Stadium,Bangladesh,West Indies,Bangladesh,Bangladesh,bat
1146721,2018-07-25,Providence Stadium,West Indies,Bangladesh,West Indies,Bangladesh,field
1146722,2018-07-28,"Warner Park, Basseterre",Bangladesh,West Indies,Bangladesh,Bangladesh,bat
1152841,2019-05-08,Kennington Oval,England,Pakistan,No Result,England,field
1152842,2019-05-11,The Rose Bowl,England,Pakistan,England,Pakistan,field
1152843,2019-05-14,County Ground,England,Pakistan,England,England,field
1152844,2019-05-17,Trent Bridge,England,Pakistan,England,England,field
1152845,2019-05-19,Headingley,England,Pakistan,England,England,bat
1153243,2018-09-15,Dubai International Cricket Stadium,Bangladesh,Sri Lanka,Bangladesh,Bangladesh,bat
1153244,2018-09-16,Dubai International Cricket Stadium,Hong Kong,Pakistan,Pakistan,Hong Kong,bat
1153246,2018-09-18,Dubai International Cricket Stadium,India,Hong Kong,India,Hong Kong,field
1153247,2018-09-19,Dubai International Cricket Stadium,Pakistan,India,India,Pakistan,bat
1153249,2018-09-21,Dubai International Cricket Stadium,Bangladesh,India,India,India,field
1153251,2018-09-23,Dubai International Cricket Stadium,Pakistan,India,India,Pakistan,bat
1153254,2018-09-26,Sheikh Zayed Stadium,Bangladesh,Pakistan,Bangladesh,Bangladesh,bat
1153255,2018-09-28,Dubai International Cricket Stadium,Bangladesh,India,India,India,field
1153314,2018-12-09,"Shere Bangla National Stadium, Mirpur",Bangladesh,West Indies,Bangladesh,West Indies,bat
1153315,2018-12-11,"Shere Bangla National Stadium, Mirpur",Bangladesh,West Indies,West Indies,West Indies,field
1153316,2018-12-14,Sylhet International Cricket Stadium,Bangladesh,West Indies,Bangladesh,Bangladesh,field
1153635,2018-10-21,"Shere Bangla National Stadium, Mirpur",Bangladesh,Zimbabwe,Bangladesh,Bangladesh,bat
1153636,2018-10-24,Zahur Ahmed Chowdhury Stadium,Zimbabwe,Bangladesh,Bangladesh,Bangladesh,field
1153637,2018-10-26,Zahur Ahmed Chowdhury Stadium,Zimbabwe,Bangladesh,Bangladesh,Bangladesh,field
1153691,2019-01-23,McLean Park,New Zealand,India,India,New Zealand,bat
1153692,2019-01-26,Bay Oval,New Zealand,India,India,India,bat
1153693,2019-01-28,Bay Oval,New Zealand,India,India,New Zealand,bat
1153694,2019-01-31,Seddon Park,New Zealand,India,New Zealand,New Zealand,field
1153695,2019-02-03,Westpac Stadium,New Zealand,India,India,India,bat
1153840,2019-01-03,Bay Oval,New Zealand,Sri Lanka,New Zealand,New Zealand,bat
1153841,2019-01-05,Bay Oval,New Zealand,Sri Lanka,New Zealand,New Zealand,bat
1153842,2019-01-08,Saxton Oval,New Zealand,Sri Lanka,New Zealand,Sri Lanka,field
1153844,2019-02-13,McLean Park,New Zealand,Bangladesh,New Zealand,Bangladesh,bat
1153845,2019-02-16,Hagley Oval,New Zealand,Bangladesh,New Zealand,New Zealand,field
1153846,2019-02-20,University Oval,New Zealand,Bangladesh,New Zealand,Bangladesh,field
1154649,2018-08-30,Kinrara Academy Oval,United Arab Emirates,Nepal,United Arab Emirates,Nepal,field
1157378,2018-11-07,Sheikh Zayed Stadium,New Zealand,Pakistan,New Zealand,New Zealand,bat
1157379,2018-11-09,Sheikh Zayed Stadium,New Zealand,Pakistan,Pakistan,New Zealand,bat
1157380,2018-11-11,Dubai International Cricket Stadium,Pakistan,New Zealand,No Result,Pakistan,bat
1157754,2018-10-21,Barsapara Cricket Stadium,West Indies,India,India,India,field
1157755,2018-10-24,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,India,West Indies,No Result,India,bat
1157756,2018-10-27,Maharashtra Cricket Association Stadium,West Indies,India,West Indies,India,field
1157757,2018-10-29,Brabourne Stadium,India,West Indies,India,India,bat
1157758,2018-11-01,Greenfield International Stadium,West Indies,India,India,West Indies,bat
1158066,2019-02-20,"Kensington Oval, Barbados",West Indies,England,England,West Indies,bat
1158067,2019-02-22,"Kensington Oval, Barbados",West Indies,England,West Indies,England,field
